Airline,Origin,Destination,Duration,Total stops,Price,Flight date,Days left until flight,Booking date
KLM • Operated by KLM Cityhopper,YYZ,BER,9h 40m,1 stop,"C$ 1,159",2025-04-01,1,2025-03-31
TAP AIR PORTUGAL,YYZ,BER,12h 50m,1 stop,C$ 801,2025-04-01,1,2025-03-31
"Air Transat, easyJet",YYZ,BER,18h 10m,1 stop,C$ 696,2025-04-01,1,2025-03-31
KLM • Operated by KLM Cityhopper,YYZ,BER,9h 40m,1 stop,"C$ 1,159",2025-04-01,1,2025-03-31
SWISS,YYZ,BER,10h 10m,1 stop,"C$ 1,135",2025-04-01,1,2025-03-31
"Air Canada, SWISS • Operated by SWISS",YYZ,BER,10h 10m,1 stop,"C$ 1,142",2025-04-01,1,2025-03-31
Air Canada • Operated by SWISS,YYZ,BER,10h 10m,1 stop,"C$ 1,142",2025-04-01,1,2025-03-31
Air Canada • Operated by Lufthansa,YYZ,BER,10h 15m,1 stop,"C$ 1,146",2025-04-01,1,2025-03-31
Brussels Airlines • Operated by Air Canada,YYZ,BER,10h 15m,1 stop,"C$ 1,153",2025-04-01,1,2025-03-31
Lufthansa • Operated by Air Canada,YYZ,BER,10h 15m,1 stop,"C$ 1,146",2025-04-01,1,2025-03-31
Austrian Airlines • Operated by Air Canada,YYZ,BER,10h 35m,1 stop,"C$ 1,154",2025-04-01,1,2025-03-31
Air Canada • Operated by Lufthansa,YYZ,BER,10h 25m,1 stop,"C$ 1,177",2025-04-01,1,2025-03-31
Air Canada • Operated by Lufthansa,YYZ,BER,10h 35m,1 stop,"C$ 1,177",2025-04-01,1,2025-03-31
SWISS • Operated by Helvetic Airways,YYZ,BER,11h 05m,1 stop,"C$ 1,135",2025-04-01,1,2025-03-31
"Air Canada, SWISS • Operated by Helvetic Airways, SWISS",YYZ,BER,11h 05m,1 stop,"C$ 1,142",2025-04-01,1,2025-03-31
Lufthansa • Operated by Air Canada,YYZ,BER,10h 25m,1 stop,"C$ 1,177",2025-04-01,1,2025-03-31
Lufthansa,YYZ,BER,10h 35m,1 stop,"C$ 1,169",2025-04-01,1,2025-03-31
Condor,YYZ,BER,14h 00m,1 stop,C$ 420,2025-04-02,2,2025-03-31
Condor,YYZ,BER,14h 00m,1 stop,C$ 420,2025-04-02,2,2025-03-31
Icelandair,YYZ,BER,10h 20m,1 stop,C$ 829,2025-04-02,2,2025-03-31
Aer Lingus,YYZ,BER,10h 35m,1 stop,C$ 887,2025-04-02,2,2025-03-31
"WestJet, Condor",YYZ,BER,14h 00m,1 stop,C$ 695,2025-04-02,2,2025-03-31
KLM • Operated by KLM Cityhopper,YYZ,BER,9h 35m,1 stop,"C$ 1,159",2025-04-02,2,2025-03-31
Lufthansa • Operated by Air Canada,YYZ,BER,10h 25m,1 stop,"C$ 1,177",2025-04-02,2,2025-03-31
Air Canada • Operated by Lufthansa,YYZ,BER,10h 25m,1 stop,"C$ 1,177",2025-04-02,2,2025-03-31
KLM • Operated by KLM Cityhopper,YYZ,BER,9h 50m,1 stop,"C$ 1,159",2025-04-02,2,2025-03-31
"Air Canada, Scandinavian Airlines",YYZ,BER,10h 25m,1 stop,"C$ 1,150",2025-04-02,2,2025-03-31
Lufthansa,YYZ,BER,10h 35m,1 stop,"C$ 1,169",2025-04-02,2,2025-03-31
Air Canada • Operated by Lufthansa,YYZ,BER,10h 35m,1 stop,"C$ 1,177",2025-04-02,2,2025-03-31
"Air Canada, Lufthansa",YYZ,BER,10h 35m,1 stop,"C$ 1,177",2025-04-02,2,2025-03-31
Lufthansa • Operated by Air Canada,YYZ,BER,10h 45m,1 stop,"C$ 1,177",2025-04-02,2,2025-03-31
Air France,YYZ,BER,11h 05m,1 stop,"C$ 1,152",2025-04-02,2,2025-03-31
SWISS • Operated by Air Canada,YYZ,BER,11h 45m,1 stop,"C$ 1,142",2025-04-02,2,2025-03-31
Condor,YYZ,BER,14h 00m,1 stop,C$ 430,2025-04-03,3,2025-03-31
Condor,YYZ,BER,14h 00m,1 stop,C$ 430,2025-04-03,3,2025-03-31
