Airline,Origin,Destination,Duration,Total stops,Price,Flight date,Days left until flight,Booking date
TAP AIR PORTUGAL,YYZ,LHR,11h 40m,1 stop,C$ 473,2025-04-01,1,2025-03-31
British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,021",2025-04-01,1,2025-03-31
Air Canada,YYZ,LHR,7h 05m,direct,"C$ 1,047",2025-04-01,1,2025-03-31
Lufthansa,YYZ,LHR,7h 05m,direct,"C$ 1,047",2025-04-01,1,2025-03-31
Finnair • Operated by British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,027",2025-04-01,1,2025-03-31
Virgin Atlantic,YYZ,LHR,7h 10m,direct,"C$ 1,027",2025-04-01,1,2025-03-31
British Airways,YYZ,LHR,7h 15m,direct,"C$ 1,021",2025-04-01,1,2025-03-31
Finnair,YYZ,LHR,7h 15m,direct,"C$ 1,027",2025-04-01,1,2025-03-31
Icelandair,YYZ,LHR,10h 05m,1 stop,C$ 707,2025-04-01,1,2025-03-31
Lufthansa,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-01,1,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-01,1,2025-03-31
Lufthansa,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-01,1,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-01,1,2025-03-31
Aer Lingus,YYZ,LHR,7h 10m,direct,"C$ 1,242",2025-04-01,1,2025-03-31
Iberia,YYZ,LHR,7h 10m,direct,"C$ 1,242",2025-04-01,1,2025-03-31
TAP AIR PORTUGAL,YYZ,LHR,11h 35m,1 stop,C$ 481,2025-04-02,2,2025-03-31
TAP AIR PORTUGAL,YYZ,LHR,11h 35m,1 stop,C$ 466,2025-04-02,2,2025-03-31
British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,021",2025-04-02,2,2025-03-31
TAP AIR PORTUGAL,YYZ,LHR,11h 40m,1 stop,C$ 469,2025-04-02,2,2025-03-31
Finnair • Operated by British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,026",2025-04-02,2,2025-03-31
Virgin Atlantic,YYZ,LHR,7h 10m,direct,"C$ 1,027",2025-04-02,2,2025-03-31
American Airlines • Operated by British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,027",2025-04-02,2,2025-03-31
Delta • Operated by Virgin Atlantic,YYZ,LHR,7h 10m,direct,"C$ 1,027",2025-04-02,2,2025-03-31
British Airways,YYZ,LHR,7h 15m,direct,"C$ 1,021",2025-04-02,2,2025-03-31
American Airlines • Operated by British Airways,YYZ,LHR,7h 15m,direct,"C$ 1,027",2025-04-02,2,2025-03-31
Finnair,YYZ,LHR,7h 15m,direct,"C$ 1,026",2025-04-02,2,2025-03-31
TAP AIR PORTUGAL,YYZ,LHR,13h 45m,1 stop,C$ 466,2025-04-02,2,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-02,2,2025-03-31
Lufthansa,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-02,2,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-02,2,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,"C$ 1,047",2025-04-02,2,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,C$ 513,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,C$ 513,2025-04-03,3,2025-03-31
TAP AIR PORTUGAL,YYZ,LHR,12h 20m,1 stop,C$ 471,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,7h 05m,direct,C$ 513,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,C$ 513,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,7h 15m,direct,C$ 513,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,8h 25m,1 stop,C$ 513,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,9h 10m,1 stop,C$ 513,2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,9h 45m,1 stop,C$ 513,2025-04-03,3,2025-03-31
Virgin Atlantic,YYZ,LHR,7h 10m,direct,"C$ 1,077",2025-04-03,3,2025-03-31
"Air Canada • Operated by United Airlines, Republic Airways/United Express",YYZ,LHR,10h 25m,1 stop,C$ 553,2025-04-03,3,2025-03-31
British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,098",2025-04-03,3,2025-03-31
Finnair • Operated by British Airways,YYZ,LHR,7h 10m,direct,"C$ 1,104",2025-04-03,3,2025-03-31
Aer Lingus,YYZ,LHR,9h 35m,1 stop,C$ 747,2025-04-03,3,2025-03-31
Lufthansa • Operated by Air Canada,YYZ,LHR,7h 15m,direct,"C$ 1,124",2025-04-03,3,2025-03-31
Lufthansa,YYZ,LHR,7h 05m,direct,"C$ 1,124",2025-04-03,3,2025-03-31
Air Canada,YYZ,LHR,11h 25m,1 stop,C$ 513,2025-04-03,3,2025-03-31
