Airline,Origin,Destination,Duration,Total stops,Price,Flight date,Days left until flight,Booking date
TAP AIR PORTUGAL,YYZ,MAN,30h 10m,1 stop,C$ 467,4/7/2025,1,4/6/2025
"WestJet, Ryanair",YYZ,MAN,11h 00m,1 stop,C$ 479,4/7/2025,1,4/6/2025
"Azores Airlines, Ryanair",YYZ,MAN,21h 10m,2 stops,C$ 431,4/7/2025,1,4/6/2025
Aer Lingus,YYZ,MAN,9h 10m,1 stop,C$ 738,4/7/2025,1,4/6/2025
"WestJet, Aer Lingus",YYZ,MAN,10h 50m,1 stop,C$ 518,4/7/2025,1,4/6/2025
"WestJet, Ryanair",YYZ,MAN,12h 45m,1 stop,C$ 479,4/7/2025,1,4/6/2025
"Air Transat, Ryanair",YYZ,MAN,13h 05m,1 stop,C$ 520,4/7/2025,1,4/6/2025
Aer Lingus • Operated by Emerald Airlines,YYZ,MAN,10h 25m,1 stop,C$ 738,4/7/2025,1,4/6/2025
"Air Transat, Jet2",YYZ,MAN,13h 45m,1 stop,C$ 527,4/7/2025,1,4/6/2025
Icelandair,YYZ,MAN,9h 50m,1 stop,C$ 940,4/7/2025,1,4/6/2025
"WestJet, Ryanair",YYZ,MAN,14h 30m,1 stop,C$ 482,4/7/2025,1,4/6/2025
"Porter Airlines, British Airways • Operated by Air Transat",YYZ,MAN,11h 35m,1 stop,C$ 717,4/7/2025,1,4/6/2025
"WestJet, Aer Lingus • Operated by Emerald Airlines",YYZ,MAN,13h 50m,1 stop,C$ 584,4/7/2025,1,4/6/2025
British Airways,YYZ,MAN,9h 35m,1 stop,"C$ 1,039",4/7/2025,1,4/6/2025
"American Airlines, British Airways • Operated by British Airways",YYZ,MAN,9h 35m,1 stop,"C$ 1,044",4/7/2025,1,4/6/2025
Aer Lingus • Operated by Emerald Airlines,YYZ,MAN,13h 05m,1 stop,C$ 738,4/7/2025,1,4/6/2025
KLM • Operated by Eastern Airways,YYZ,MAN,10h 00m,1 stop,"C$ 1,074",4/7/2025,1,4/6/2025
"Air Canada, Lufthansa",YYZ,MAN,11h 05m,1 stop,"C$ 1,078",4/8/2025,2,4/6/2025
Icelandair,YYZ,MAN,9h 50m,1 stop,C$ 675,4/8/2025,2,4/6/2025
TAP AIR PORTUGAL,YYZ,MAN,11h 30m,1 stop,C$ 913,4/8/2025,2,4/6/2025
Aer Lingus,YYZ,MAN,9h 10m,1 stop,"C$ 1,031",4/8/2025,2,4/6/2025
"Finnair, British Airways • Operated by British Airways",YYZ,MAN,9h 55m,1 stop,"C$ 1,044",4/8/2025,2,4/6/2025
Aer Lingus • Operated by Emerald Airlines,YYZ,MAN,10h 15m,1 stop,"C$ 1,031",4/8/2025,2,4/6/2025
"American Airlines, British Airways • Operated by British Airways",YYZ,MAN,9h 55m,1 stop,"C$ 1,044",4/8/2025,2,4/6/2025
British Airways,YYZ,MAN,9h 55m,1 stop,"C$ 1,044",4/8/2025,2,4/6/2025
"American Airlines, British Airways • Operated by British Airways",YYZ,MAN,10h 40m,1 stop,"C$ 1,044",4/8/2025,2,4/6/2025
British Airways,YYZ,MAN,10h 40m,1 stop,"C$ 1,044",4/8/2025,2,4/6/2025
"American Airlines, Aer Lingus • Operated by Aer Lingus",YYZ,MAN,9h 10m,1 stop,"C$ 1,134",4/8/2025,2,4/6/2025
British Airways • Operated by Aer Lingus,YYZ,MAN,9h 10m,1 stop,"C$ 1,135",4/8/2025,2,4/6/2025
Lufthansa • Operated by Air Canada,YYZ,MAN,11h 05m,1 stop,"C$ 1,083",4/8/2025,2,4/6/2025
"Virgin Atlantic • Operated by KLM Cityhopper, KLM",YYZ,MAN,10h 35m,1 stop,"C$ 1,074",4/8/2025,2,4/6/2025
"Air Canada, Lufthansa",YYZ,MAN,11h 05m,1 stop,"C$ 1,078",4/8/2025,2,4/6/2025
KLM • Operated by KLM Cityhopper,YYZ,MAN,10h 35m,1 stop,"C$ 1,074",4/8/2025,2,4/6/2025
"Air Canada, Aer Lingus • Operated by Emerald Airlines",YYZ,MAN,9h 50m,1 stop,"C$ 1,054",4/9/2025,3,4/6/2025
TAP AIR PORTUGAL,YYZ,MAN,18h 25m,1 stop,C$ 499,4/9/2025,3,4/6/2025
"American Airlines, Aer Lingus • Operated by Aer Lingus",YYZ,MAN,9h 10m,1 stop,"C$ 1,134",4/9/2025,3,4/6/2025
British Airways • Operated by Aer Lingus,YYZ,MAN,9h 10m,1 stop,"C$ 1,135",4/9/2025,3,4/6/2025
KLM • Operated by KLM Cityhopper,YYZ,MAN,10h 45m,1 stop,"C$ 1,074",4/9/2025,3,4/6/2025
"Virgin Atlantic • Operated by KLM Cityhopper, KLM",YYZ,MAN,10h 45m,1 stop,"C$ 1,074",4/9/2025,3,4/6/2025
British Airways,YYZ,MAN,10h 10m,1 stop,"C$ 1,044",4/9/2025,3,4/6/2025
"British Airways • Operated by Emerald Airlines For Aer Lingus, Aer Lingus",YYZ,MAN,10h 25m,1 stop,"C$ 1,135",4/9/2025,3,4/6/2025
KLM • Operated by Eastern Airways,YYZ,MAN,10h 00m,1 stop,"C$ 1,074",4/9/2025,3,4/6/2025
"Virgin Atlantic • Operated by Eastern Airways, KLM",YYZ,MAN,10h 00m,1 stop,"C$ 1,074",4/9/2025,3,4/6/2025
Scandinavian Airlines • Operated by SAS Connect,YYZ,MAN,11h 20m,1 stop,"C$ 1,066",4/9/2025,3,4/6/2025
"American Airlines, British Airways • Operated by British Airways",YYZ,MAN,10h 10m,1 stop,"C$ 1,044",4/9/2025,3,4/6/2025
"Air Canada, Lufthansa",YYZ,MAN,11h 05m,1 stop,"C$ 1,078",4/9/2025,3,4/6/2025
Lufthansa • Operated by Air Canada,YYZ,MAN,11h 05m,1 stop,"C$ 1,083",4/9/2025,3,4/6/2025
Lufthansa • Operated by Air Canada,YYZ,MAN,10h 55m,1 stop,"C$ 1,112",4/9/2025,3,4/6/2025
"Air Canada, Aer Lingus",YYZ,MAN,12h 10m,1 stop,"C$ 1,054",4/9/2025,3,4/6/2025
KLM • Operated by KLM Cityhopper,YYZ,MAN,10h 35m,1 stop,"C$ 1,149",4/10/2025,4,4/6/2025
TAP AIR PORTUGAL,YYZ,MAN,11h 30m,1 stop,C$ 907,4/10/2025,4,4/6/2025
British Airways • Operated by Aer Lingus,YYZ,MAN,9h 10m,1 stop,"C$ 1,188",4/10/2025,4,4/6/2025
British Airways,YYZ,MAN,10h 40m,1 stop,"C$ 1,121",4/10/2025,4,4/6/2025
"American Airlines, Aer Lingus • Operated by Aer Lingus",YYZ,MAN,9h 10m,1 stop,"C$ 1,211",4/10/2025,4,4/6/2025
KLM • Operated by KLM Cityhopper,YYZ,MAN,10h 35m,1 stop,"C$ 1,149",4/10/2025,4,4/6/2025
"Virgin Atlantic • Operated by KLM Cityhopper, KLM",YYZ,MAN,10h 35m,1 stop,"C$ 1,149",4/10/2025,4,4/6/2025
"Air Transat, easyJet",YYZ,MAN,12h 50m,1 stop,C$ 972,4/10/2025,4,4/6/2025
"Air Canada, Lufthansa",YYZ,MAN,11h 05m,1 stop,"C$ 1,155",4/10/2025,4,4/6/2025
"British Airways • Operated by Emerald Airlines For Aer Lingus, Aer Lingus",YYZ,MAN,10h 25m,1 stop,"C$ 1,188",4/10/2025,4,4/6/2025
